Marca,Modelo,Capacidad,Color,Precio (S/.),Tienda,Extras
Apple,iPhone 14 Pro Max,128 GB,No especificado,5699,Mercado Libre,-
Apple,iPhone 14,128 GB,No especificado,4299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,No especificado,5299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,No especificado,4299,Mercado Libre,-
Apple,iPhone 12,64 GB,No especificado,3099,Mercado Libre,-
Apple,iPhone 12 Mini,64 GB,No especificado,3619,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,No especificado,6299,Mercado Libre,-
Apple,iPhone 14 Pro,256 GB,No especificado,5899,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,No especificado,5299,Mercado Libre,-
Apple,iPhone 11,64 GB,No especificado,1899,Mercado Libre,-
Apple,iPhone 11,64 GB,Negro + 20w Usb-c Power Adapter,2089,Mercado Libre,-
Apple,iPhone 11,64 GB,Blanco,3199,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Blanco Estelar,6299,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Morado,6299,Hiraoka,-
Apple,iPhone 11,64 GB,4GB RAM Negro,3199,Hiraoka,-
Apple,iPhone 11,128 GB,Blanco,3499,Hiraoka,-
Apple,iPhone 11,128 GB,Negro,3499,Hiraoka,-
Apple,iPhone 13,256 GB,Azul,5799,Hiraoka,-
Apple,iPhone 13,256 GB,Verde,4399,Hiraoka,-
Apple,iPhone 14,128 GB,Blanco Estelar,4999,Hiraoka,-
Apple,iPhone 14,128 GB,Medianoche,4999,Hiraoka,-
Apple,iPhone 14,128 GB,Azul,3899,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Medianoche,6299,Hiraoka,-
Apple,iPhone 14 Plus,128 GB,Medianoche,5599,Hiraoka,-
Apple,iPhone 14 Plus,128 GB,Blanco Estelar,5599,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Negro Espacial,5199,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Morado Oscuro,5199,Hiraoka,-
Apple,iPhone 13 Pro,512 GB,Grafito,6199,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Plata,5199,Hiraoka,-
Apple,iPhone 14,256 GB,Medianoche,5599,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Plata,5799,Hiraoka,-
Apple,iPhone 14 Plus,128 GB,Morado,5599,Hiraoka,-
Apple,iPhone 13 Pro,256 GB,Azul Sierra,5199,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Rojo,4999,Hiraoka,-
Apple,iPhone 13,512 GB,Verde,4999,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Negro Espacial,5799,Hiraoka,-
Apple,iPhone 14,256 GB,Blanco Estelar,5599,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Morado Oscuro,5799,Hiraoka,-
Apple,iPhone 14 Pro Max,256 GB,No especificado,5899,Falabella,-
Apple,iPhone 14,256 GB,No especificado,4099,Falabella,-
Apple,iPhone 14 Pro,256 GB,No especificado,5599,Falabella,-
Apple,iPhone 13,256 GB,No especificado,3399,Falabella,-
Apple,iPhone 14 Plus,256 GB,No especificado,4799,Falabella,-
Apple,iPhone 11,64 GB,No especificado,1799,Falabella,-
Apple,iPhone 14 Plus,128 GB,No especificado,4299,Falabella,-
Apple,iPhone SE,64 GB,No especificado,1499,Falabella,-
Apple,iPhone 11,128 GB,No especificado,2299,Falabella,-
Apple,iPhone 11,128 GB,No especificado,3599,Falabella,Case iPhone 11 Transparente
Apple,iPhone 14 Pro Max,128 GB,No especificado,5699,Falabella,-
Apple,iPhone 13,128 GB,No especificado,3099,Falabella,-
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 11,64 GB,No especificado,3299,Falabella,Case iPhone 11 Transparente
Apple,iPhone 14 Pro,128 GB,No especificado,5099,Falabella,-
Apple,iPhone 14,128 GB,No especificado,3799,Falabella,-
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
